,BikeID,DockID,Timestamp
210,677,191.0,1603923051.0
211,2241,294.0,1602505184.0
212,1523,294.0,1603738839.0
213,1749,294.0,1603125634.0
214,2998,136.0,1603479402.0
215,26,294.0,1602697264.0
216,820,582.0,1604150141.0
217,633,294.0,1603478863.0
218,3013,445.0,1603408013.0
219,926,8.0,1603741962.0
220,1051,12.0,1602847638.0
221,2631,496.0,1602410090.0
222,1629,272.0,1602492236.0
223,325,25.0,1602931110.0
224,70,456.0,1603468112.0
225,1971,186.0,1604177906.0
226,1158,3.0,1602335712.0
227,1174,78.0,1602180555.0
228,2944,65.0,1602184985.0
229,1266,323.0,1603458556.0
230,1087,323.0,1604143401.0
231,1067,452.0,1604145217.0
232,955,323.0,1603040397.0
233,1407,57.0,1601588432.0
234,837,68.0,1602690618.0
235,2341,68.0,1602690581.0
236,1969,65.0,1602441340.0
237,2767,59.0,1601933953.0
238,151,59.0,1602328265.0
239,2631,277.0,1602930931.0
240,1023,202.0,1603015438.0
241,1243,592.0,1602693778.0
242,1618,277.0,1602190038.0
243,2530,305.0,1603655252.0
244,2971,533.0,1602055471.0
245,1782,148.0,1602321215.0
246,730,266.0,1603214003.0
247,2259,453.0,1603721746.0
248,1724,544.0,1603730780.0
249,1774,544.0,1603730621.0
250,1238,544.0,1603732484.0
251,1217,151.0,1602266720.0
252,1017,377.0,1602328669.0
253,2836,310.0,1602336367.0
254,1660,305.0,1603036977.0
255,2270,553.0,1602084150.0
256,1724,277.0,1603120666.0
257,2185,139.0,1602422979.0
258,32,173.0,1601822790.0
259,1072,124.0,1603415824.0
260,1914,186.0,1601813657.0
261,2913,367.0,1601640169.0
262,1929,18.0,1601653363.0
263,2464,581.0,1601650534.0
264,3024,195.0,1601626693.0
265,449,553.0,1603800371.0
266,2160,81.0,1603823292.0
267,2356,677.0,1601715962.0
268,566,184.0,1601723039.0
269,2833,322.0,1601739596.0
270,941,17.0,1601730772.0
271,85,277.0,1601675904.0
272,2682,178.0,1601681292.0
273,2301,150.0,1601674102.0
274,667,630.0,1601745099.0
275,2665,17.0,1601723674.0
276,1031,123.0,1602753372.0
277,1647,192.0,1604040047.0
278,842,192.0,1602670543.0
279,2872,17.0,1602690592.0
280,1598,578.0,1602654161.0
281,1211,250.0,1601763479.0
282,2663,401.0,1601827233.0
283,2807,581.0,1601818020.0
284,504,322.0,1603123976.0
285,2863,228.0,1603096849.0
286,2124,26.0,1603111837.0
287,1984,196.0,1603117932.0
288,2298,155.0,1603819205.0
289,2138,175.0,1601730055.0
290,1172,251.0,1601748387.0
291,184,672.0,1601735202.0
292,1097,65.0,1601706187.0
293,2014,184.0,1601744422.0
294,298,518.0,1602180505.0
295,1006,141.0,1602154834.0
296,1114,653.0,1602124307.0
297,1950,377.0,1602104080.0
298,2088,320.0,1602180393.0
299,339,314.0,1602098672.0
300,919,102.0,1601727494.0
301,197,21.0,1601672506.0
302,2279,592.0,1601726445.0
303,1674,79.0,1603888449.0
304,2172,533.0,1602927348.0
305,500,680.0,1602934889.0
306,63,491.0,1602716253.0
307,1424,222.0,1602744722.0
308,60,14.0,1602766272.0
309,2303,130.0,1602767984.0
310,1998,89.0,1602777804.0
311,2899,364.0,1603324630.0
312,1646,97.0,1603309959.0
313,1007,15.0,1603388017.0
314,1176,529.0,1602964671.0
315,313,109.0,1603912115.0
316,260,390.0,1603907087.0
317,1832,83.0,1603847616.0
318,1661,439.0,1602750196.0
319,2547,120.0,1603386092.0
320,2198,366.0,1603382500.0
321,563,64.0,1603365519.0
322,112,461.0,1603374859.0
323,2162,517.0,1602344554.0
324,2812,338.0,1602334914.0
325,2173,634.0,1602343382.0
326,2306,430.0,1603015904.0
327,171,38.0,1603043339.0
328,1058,465.0,1603026978.0
329,423,1.0,1603028194.0
330,2928,121.0,1603030990.0
331,318,15.0,1603038875.0
332,532,17.0,1602412596.0
333,1809,517.0,1602360040.0
334,1807,581.0,1602400604.0
335,1293,561.0,1603737823.0
336,1048,681.0,1602672428.0
337,1781,153.0,1602690423.0
338,1518,461.0,1602700864.0
339,2563,82.0,1602701979.0
340,107,626.0,1602686985.0
341,963,634.0,1603211965.0
342,2209,17.0,1603202690.0
343,2646,109.0,1603150431.0
344,2616,18.0,1603482038.0
345,2292,256.0,1603543409.0
346,795,231.0,1603559412.0
347,1711,358.0,1603547314.0
348,1656,464.0,1603545661.0
349,260,18.0,1603517850.0
350,1196,122.0,1601641989.0
351,665,592.0,1601640968.0
352,1688,429.0,1601659748.0
353,2863,528.0,1601658158.0
354,1433,144.0,1601632088.0
355,1895,99.0,1603783821.0
356,1061,156.0,1603803281.0
357,2291,73.0,1603806620.0
358,2776,73.0,1603804858.0
359,2762,681.0,1603823097.0
360,2378,133.0,1602951131.0
361,76,464.0,1602944031.0
362,3006,20.0,1602939435.0
363,1338,144.0,1602955473.0
364,1245,681.0,1602940776.0
365,384,97.0,1602956512.0
366,3036,14.0,1602932011.0
367,2198,355.0,1603030846.0
368,2147,201.0,1603026766.0
369,1820,505.0,1603725393.0
370,479,90.0,1603722773.0
371,2743,109.0,1603469829.0
372,2577,193.0,1603472206.0
373,438,581.0,1603463397.0
374,763,306.0,1603440692.0
375,2669,120.0,1601541096.0
376,2042,153.0,1601571111.0
377,228,150.0,1601562475.0
378,1173,653.0,1601571074.0
379,908,501.0,1602796072.0
380,433,630.0,1602869216.0
381,1208,27.0,1602435083.0
382,2502,20.0,1602423930.0
383,1244,360.0,1602402705.0
384,2308,103.0,1602594429.0
385,841,654.0,1601892752.0
386,1313,237.0,1601922704.0
387,2132,386.0,1601920303.0
388,1257,417.0,1601876470.0
389,2208,451.0,1601886025.0
390,456,194.0,1602246393.0
391,613,461.0,1602235274.0
392,2796,681.0,1602236820.0
393,1505,292.0,1603911747.0
394,2943,583.0,1603895740.0
395,1674,32.0,1603890143.0
396,2901,70.0,1601733929.0
397,1595,75.0,1601744836.0
398,2782,527.0,1601681465.0
399,851,221.0,1601718364.0
400,1986,516.0,1603100096.0
401,1426,78.0,1603098070.0
402,454,319.0,1603123662.0
403,556,440.0,1603313784.0
404,1159,581.0,1603372340.0
405,904,158.0,1603366318.0
406,2791,414.0,1603362148.0
407,275,91.0,1603349236.0
408,1495,218.0,1601835549.0
409,1337,398.0,1601828624.0
410,288,561.0,1601819998.0
411,2093,426.0,1601825463.0
412,2366,115.0,1601753377.0
413,2229,397.0,1601814889.0
414,2889,64.0,1601980903.0
415,1941,81.0,1601992897.0
416,644,554.0,1602007146.0
417,1032,447.0,1602002954.0
418,2236,617.0,1601978662.0
419,40,561.0,1602410400.0
420,557,578.0,1601651849.0
421,666,57.0,1601652933.0
422,674,368.0,1601655206.0
423,1277,65.0,1601649050.0
424,1424,65.0,1602777823.0
425,2035,451.0,1602762046.0
426,1202,14.0,1602717841.0
427,315,619.0,1602770265.0
428,1016,31.0,1602744525.0
429,2072,461.0,1602515551.0
430,1366,152.0,1603036591.0
431,2570,634.0,1603002485.0
432,2201,27.0,1603670317.0
433,1469,124.0,1603728894.0
434,784,116.0,1603724596.0
