,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week
37486,6,18,1,77,2011,0,1,1,0,1
37513,7,4,3,77,2011,0,2,2,0,2
37526,7,34,2,77,2011,0,2,0,0,0
37533,8,34,2,77,2011,2,1,1,1,1
37556,8,18,2,77,2011,0,1,0,0,1
37557,8,4,3,77,2011,3,0,1,2,4
37560,8,13,1,77,2011,0,0,1,2,1
37578,9,4,1,77,2011,3,0,0,0,1
37603,9,13,2,77,2011,1,2,0,0,0
37610,10,34,2,77,2011,0,0,0,0,1
37627,10,4,2,77,2011,1,2,0,1,2
37633,10,13,1,77,2011,2,2,0,1,1
37655,11,4,2,77,2011,2,3,0,0,4
37661,11,13,1,77,2011,1,0,0,0,0
37663,11,34,2,77,2011,2,1,0,0,2
37686,12,18,1,77,2011,0,1,2,0,1
37694,12,34,1,77,2011,2,0,4,0,0
37700,12,13,2,77,2011,1,0,1,1,0
37703,13,18,3,77,2011,1,1,3,1,0
37718,13,13,4,77,2011,2,0,3,4,0
37726,13,4,2,77,2011,0,2,0,1,0
37733,13,34,4,77,2011,1,2,3,0,0
37750,14,34,1,77,2011,4,1,1,2,0
37756,14,4,4,77,2011,2,4,0,0,1
37761,14,18,2,77,2011,3,1,2,0,2
37780,15,4,2,77,2011,4,1,1,2,2
37798,15,18,1,77,2011,2,0,0,2,0
37805,16,13,2,77,2011,0,1,0,1,1
37821,16,18,1,77,2011,1,1,0,0,0
37831,16,34,5,77,2011,0,0,1,0,1
37841,17,18,3,77,2011,1,0,0,1,0
37855,17,34,6,77,2011,5,1,0,1,0
37863,17,13,2,77,2011,2,0,1,1,0
37864,17,4,3,77,2011,0,0,1,0,0
37898,18,13,1,77,2011,2,0,1,2,2
37904,18,34,6,77,2011,6,1,0,3,1
37906,18,18,1,77,2011,3,0,2,1,0
37908,18,4,2,77,2011,3,0,4,0,0
37939,19,34,2,77,2011,6,3,2,2,0
37940,19,4,3,77,2011,2,2,3,2,2
37956,20,13,4,77,2011,0,0,0,2,0
37964,20,34,4,77,2011,2,6,3,0,0
38003,21,4,1,77,2011,0,3,1,4,0
38013,21,34,1,77,2011,4,2,1,0,0
38030,22,4,1,77,2011,1,2,0,0,0
38032,22,18,1,77,2011,0,1,3,1,3
38045,23,13,1,77,2011,0,1,0,2,1
38061,23,18,2,77,2011,1,3,2,0,3
38101,0,4,1,78,2011,0,2,1,1,4
38102,0,34,1,78,2011,0,3,0,0,2
38114,1,13,1,78,2011,0,1,1,1,1
38116,1,34,1,78,2011,1,2,0,0,2
38154,6,13,1,78,2011,0,1,0,2,0
38164,7,4,1,78,2011,0,1,0,1,0
38177,8,34,1,78,2011,0,1,0,0,1
38179,8,4,1,78,2011,1,0,1,1,0
38189,8,13,1,78,2011,0,0,0,0,0
38225,9,4,2,78,2011,1,0,1,0,0
38231,9,34,1,78,2011,1,0,1,1,0
38259,10,18,2,78,2011,0,1,1,0,0
38261,10,13,1,78,2011,0,0,2,0,0
38263,10,4,2,78,2011,2,0,4,0,0
38265,10,34,2,78,2011,1,1,1,1,0
38296,11,34,2,78,2011,2,2,5,0,0
38298,11,13,2,78,2011,1,0,2,5,0
38300,11,18,1,78,2011,2,0,1,0,0
38302,11,4,2,78,2011,2,2,1,1,2
38313,12,4,5,78,2011,2,3,1,2,1
38320,12,18,2,78,2011,1,2,2,0,1
38322,12,34,1,78,2011,2,3,0,1,0
38366,13,18,2,78,2011,2,2,0,0,1
38371,13,34,3,78,2011,1,3,1,1,0
38373,13,4,1,78,2011,5,0,0,0,0
38394,14,34,7,78,2011,3,2,1,0,1
38406,14,18,4,78,2011,2,0,1,1,0
38407,14,4,4,78,2011,1,3,2,0,0
38409,14,13,2,78,2011,0,4,3,0,2
38438,15,34,4,78,2011,7,4,1,1,1
38443,15,13,2,78,2011,2,1,1,1,1
38446,15,4,1,78,2011,4,3,1,1,1
38449,15,18,3,78,2011,4,2,0,0,3
38459,16,34,7,78,2011,4,2,0,0,2
38480,16,13,1,78,2011,2,1,1,2,1
38481,16,4,1,78,2011,1,4,0,1,0
38482,16,18,3,78,2011,3,1,2,3,2
38509,17,34,1,78,2011,7,5,3,2,0
38520,17,13,2,78,2011,1,0,0,0,0
38542,18,4,4,78,2011,0,0,2,2,2
38546,18,13,3,78,2011,2,3,4,0,0
38554,18,18,2,78,2011,0,1,0,1,0
38557,18,34,1,78,2011,1,0,0,1,0
38585,19,18,1,78,2011,2,0,1,2,2
38586,19,4,1,78,2011,4,1,1,0,0
38588,19,34,1,78,2011,1,0,1,1,0
38601,20,18,1,78,2011,1,2,2,0,1
38615,20,34,1,78,2011,1,0,0,0,1
38649,21,4,1,78,2011,0,0,2,2,0
38670,22,18,1,78,2011,0,1,0,1,0
38711,0,4,2,79,2011,0,0,0,0,0
38726,1,13,1,79,2011,0,0,0,1,0
